ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;PERSONALE_TEMPO_PIENO_UOMINI;PERSONALE_TEMPO_PIEDO_DONNE;PART_TIME_INF50%_UOMINI;PART_TIME_INF50%_DONNE;PART_TIME_SUP50%_UOMINI;PART_TIME_SUP50%_DONNE
C409;RALN;CD;049000;1;1;0;0;0;1
C409;RALN;CB;037492;0;0;0;0;0;1
C409;RALN;CB;036494;0;1;0;0;0;0
C409;RALN;CC;046000;0;1;0;0;0;0
C409;RALN;CB;032000;1;0;0;0;0;0
C409;RALN;CB;037493;1;0;0;0;0;0
C409;RALN;CC;045000;0;3;0;0;0;1
C409;RALN;CC;042000;3;1;0;0;0;0
C409;RALN;CB;034000;1;0;0;0;0;0
C409;RALN;CD;0D5000;2;0;0;0;0;0
C409;RALN;CC;043000;0;1;0;0;0;1
C409;RALN;CD;0D4000;1;0;0;0;0;0
C409;RALN;FP;0D0103;1;0;0;0;0;0
C3913;RALN;CD;049000;0;1;0;0;0;0
C3913;RALN;CD;0D1000;0;3;0;0;0;0
C3913;RALN;CD;0D5000;0;1;0;0;0;0
C3913;RALN;CC;042000;1;1;0;0;0;0
C3913;RALN;CC;046000;1;1;0;0;0;0
C3913;RALN;CB;036495;1;0;0;0;0;0
C3913;RALN;CC;045000;0;1;0;0;0;0
C3913;RALN;CD;0D4000;0;1;0;0;0;0
C3913;RALN;CB;0B7A00;0;2;0;0;0;0
C3123;RALN;CD;050000;0;1;0;0;0;0
C3123;RALN;CB;055000;1;0;0;0;0;0
C3123;RALN;CC;046000;1;0;0;0;0;0
AU12238;AUIN;DI;0D00NF;5;6;0;0;0;0
AU12238;AUIN;LI;0000ND;54;34;0;0;1;1
C8272;RALN;CD;0D1000;0;0;0;0;0;1
C8272;RALN;CB;032000;0;0;0;0;1;0
C8272;RALN;CD;0D4000;1;1;0;0;0;0
C8272;RALN;CC;043000;1;0;0;0;0;0
C8272;RALN;CC;042000;0;0;1;1;0;0
C8272;RALN;CC;0C1000;0;2;0;0;0;0
C6770;RALN;CA;028000;5;1;0;0;0;0
C6770;RALN;CB;0B7000;0;1;0;0;0;0
C6770;RALN;CC;0C1000;1;0;1;0;0;0
C6770;RALN;CC;097000;0;3;1;0;0;0
C6770;RALN;SP;0D0I95;0;0;1;0;0;0
C6770;RALN;CB;032000;1;0;0;0;0;0
C6770;RALN;DF;0D0095;0;0;1;0;0;0
C6770;RALN;CD;0D1000;0;0;0;0;1;0
C6770;RALN;CD;099000;1;0;0;0;0;0
C6770;RALN;CC;046000;1;0;0;0;0;0
C6770;RALN;FP;0D0103;0;1;0;0;0;0
C6770;RALN;RP;000096;0;0;1;0;0;0
C6770;RALN;CC;042000;6;1;0;0;3;1
C6770;RALN;CB;038491;1;0;0;0;0;0
C6770;RALN;CB;036494;3;1;0;0;0;0
C6845;RALN;CB;038491;1;0;0;0;0;0
C6845;RALN;CD;050000;1;1;0;0;0;0
C6845;RALN;DF;0D0095;0;0;1;0;0;0
ER10673;RESA;CD;048000;3;5;0;0;0;0
ER10673;RESA;CB;038000;22;4;0;0;0;2
ER10673;RESA;CD;049000;0;3;0;0;0;0
ER10673;RESA;CC;043000;21;11;0;0;0;0
ER10673;RESA;CB;034000;33;8;0;0;1;1
ER10673;RESA;CB;036000;91;11;0;0;1;0
