"Istituzione","Contratto","Categoria","Qualifica","Comandati Distaccati Uomini","ComandatiDistaccatiDonne","Fuori Ruolo Uomini","Fuori Ruolo Donne","Comandati Distaccati Estero Uomini","Comandati Distaccati Estero Donne","Fuori Ruolo Estero Uomini","Fuori Ruolo Estero Donne","Convenzioni Uomini","Convenzioni Donne","Convenzioni Estero Uomini","Convenzioni Estero Donne","Esoneri Uomini","Esoneri Donne","Esoneri Interno 70% Uomini","Esoneri Interno 70% Donne"
"E8433","EPNE","D2","0D0080","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"C1145","RALN","CD","0D6A00","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C1145","RALN","CC","056000","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"C1145","RALN","CB","038491","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"P9042","RALN","FP","0D0102","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"P9042","RALN","CD","058000","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"P9042","RALN","DI","0D0164","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"P9042","RALN","DI","0D0165","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"C2127","RALN","CD","0D6A00","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"C2145","RALN","CC","056000","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"C2379","RALN","CD","0D6A00","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"C2379","RALN","CD","0D6000","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"C2379","RALN","CC","056000","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"C2889","RALN","FP","0D0103","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"C2889","RALN","CC","056000","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"C3162","RALN","DI","0D0164","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0"
"C6394","RALN","FP","0D0102","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"C6563","RALN","FP","0D0102","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"C6563","RALN","CD","0D6A00","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"C6830","RALN","CD","051488","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C7531","RALN","FP","0D0102","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"C7531","RALN","CC","043000","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C214","RALN","CD","052486","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0"
"U9647","SSNA","MD","SD0E33","0","0","0","0","0","0","0","0","0","0","20","3","0","0","0","0"
"U9647","SSNA","MD","SD0E34","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0"
"U9647","SSNA","MD","SD0035","0","1","0","0","0","0","0","0","0","0","21","10","0","0","0","0"
"U9647","SSNA","DS","SD0A12","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0"
"U9647","SSNA","DS","SD0A41","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"U9647","SSNA","DP","PD0A45","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"U9647","SSNA","SF","S16019","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0"
"U9647","SSNA","LA","A16028","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"U10509","SSNA","SI","S16020","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"U10509","SSNA","LT","T16024","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U10509","SSNA","LT","T16026","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U10509","SSNA","LT","T12057","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U10509","SSNA","LA","A14005","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"V9733","RALN","CD","057000","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C3065","RALN","FP","0D0102","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C3065","RALN","CD","052487","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"C3065","RALN","CD","049000","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"C3065","RALN","CC","046000","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"C3065","RALN","CC","043000","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C3065","RALN","CC","042000","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C3065","RALN","CB","055000","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"D8321","RALN","CB","054000","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"K8640","SSNA","ST","S18920","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"P9057","RALN","CB","054000","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Q9189","UNIV","PR","0D0173","0","1","0","0","0","0","0","0","12","1","0","0","0","0","0","0"
"Q9189","UNIV","PR","0D0172","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0"
"Q9189","UNIV","PR","0D0175","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0"
"Q9189","UNIV","PR","0D0169","0","0","0","0","0","0","0","0","11","3","1","0","0","0","0","0"
"Q9189","UNIV","PR","0D0168","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0"
"Q9189","UNIV","PR","0D0167","0","0","0","0","0","0","0","0","6","1","0","0","0","0","0","0"
"Q9189","UNIV","PR","0D0166","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"Q9189","UNIV","RI","0D0177","0","0","0","0","0","0","0","0","15","7","0","0","0","0","0","0"
"Q9189","UNIV","RI","0D0176","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"Q9189","UNIV","CD","050000","0","1","0","0","0","0","0","0","0","4","0","0","0","0","0","0"
"Q9189","UNIV","CD","049000","1","2","0","0","0","0","0","0","1","4","0","0","0","0","0","0"
"Q9189","UNIV","CD","048000","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Q9189","UNIV","CC","0C7000","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"Q9189","UNIV","CC","045000","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"Q9189","UNIV","CC","043000","0","4","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"Q9189","UNIV","CC","042000","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Q9189","UNIV","CC","040000","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C487","RALN","FP","0D0103","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"C487","RALN","CD","052487","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"C487","RALN","CD","051489","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"C6647","RALN","CD","052487","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C6647","RALN","CD","057000","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"C6647","RALN","CC","042000","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"C6647","RALN","CB","038491","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"C6647","RALN","CB","054000","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"C6647","RALN","DI","0D0164","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"C4054","RALN","CB","055000","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"C7987","RALN","FP","0D0102","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"C7987","RALN","CD","052486","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"C906","RALN","CD","050000","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"C906","RALN","CD","057000","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"C1456","RALN","FP","0D0103","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"C1656","RALN","FP","0D0103","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"C1962","RALN","FP","0D0103","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"C2197","RALN","CD","052486","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C2197","RALN","CD","051489","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"C2197","RALN","CC","043000","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"C2197","RALN","DI","0D0165","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"C2295","RALN","FP","0D0103","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"C2295","RALN","CD","050000","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"C2295","RALN","CD","057000","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"C2781","RALN","FP","0D0103","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"C4193","RALN","CD","051488","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"C4193","RALN","CB","032000","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"C4657","RALN","FP","0D0103","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"C4657","RALN","CD","051488","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C5049","RALN","CD","052487","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"C5206","RALN","FP","0D0485","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"C5438","RALN","FP","0D0103","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"C5568","RALN","FP","0D0103","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"C5568","RALN","CD","0D6000","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"C5568","RALN","CD","052486","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"C5568","RALN","CC","056000","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"C6118","RALN","FP","0D0103","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"C6118","RALN","CD","0D6A00","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"C6118","RALN","CC","043000","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"C6128","RALN","FP","0D0103","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"C6128","RALN","CD","051488","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"C6676","RALN","FP","0D0103","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"C6676","RALN","CC","046000","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C7027","RALN","FP","0D0102","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"C7027","RALN","CD","0D6000","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"C7027","RALN","CD","051488","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"C7027","RALN","CD","050000","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"C7282","RALN","SP","0D0I95","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"C7282","RALN","CD","052487","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"C7282","RALN","RP","000096","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"C7975","RALN","FP","0D0103","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
